,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,37.11,80,52,8.66,AR,1603109309
1,New Norfolk,-42.78,147.06,51.01,73,81,1.01,AU,1603109310
2,Doha,25.29,51.53,95.0,33,0,10.0,QA,1603109016
3,Marsh Harbour,26.54,-77.06,80.83,76,98,19.89,BS,1603109313
4,Sola,-13.88,167.55,79.9,79,39,17.74,VU,1603109314
5,Dudinka,69.41,86.18,4.73,95,98,6.89,RU,1603109315
6,Esperance,-33.87,121.9,61.32,84,3,16.08,AU,1603109316
7,East London,-33.02,27.91,71.22,68,77,18.52,ZA,1603109317
8,Terney,45.05,136.61,44.06,60,0,6.58,RU,1603109318
9,Santa Marta,11.24,-74.2,82.0,76,100,3.0,CO,1603109306
10,Cape Town,-33.93,18.42,69.01,58,73,7.0,ZA,1603109320
11,Busselton,-33.65,115.33,64.99,49,1,17.4,AU,1603109047
12,Bredasdorp,-34.53,20.04,63.0,69,76,5.99,ZA,1603109323
13,Port Elizabeth,-33.92,25.57,75.0,61,58,7.0,ZA,1603109324
14,Cabedelo,-6.98,-34.83,80.82,68,47,13.89,BR,1603109325
15,Bengkulu,-3.8,102.27,79.05,83,92,4.47,ID,1603109326
16,San Patricio,28.02,-97.52,78.01,97,13,5.3,US,1603109327
17,Hofn,64.25,-15.21,41.47,68,100,12.66,IS,1603109328
18,Ponta do Sol,32.67,-17.1,73.99,70,99,5.01,PT,1603109329
19,Upernavik,72.79,-56.15,36.28,89,100,9.06,GL,1603109330
20,Hermanus,-34.42,19.23,63.0,69,63,5.99,ZA,1603109331
21,Vaini,-21.2,-175.2,71.13,79,36,18.95,TO,1603109333
22,Jamestown,42.1,-79.24,51.01,92,95,1.01,US,1603109195
23,Tasiilaq,65.61,-37.64,30.0,97,99,3.76,GL,1603109335
24,Plettenberg Bay,-34.05,23.37,67.03,62,72,6.6,ZA,1603109336
25,Shakawe,-18.37,21.85,102.67,8,1,10.18,BW,1603109337
26,Tiksi,71.69,128.87,17.91,94,97,22.21,RU,1603109338
27,Rikitea,-23.12,-134.97,73.85,81,12,16.91,PF,1603109339
28,Wukari,7.85,9.78,89.22,58,62,4.92,NG,1603109340
29,Simao,22.79,100.97,62.13,95,100,2.06,CN,1603109341
30,Hamilton,39.18,-84.53,54.0,95,100,6.42,US,1603109343
31,Saint-Philippe,-21.36,55.77,80.01,62,35,5.99,RE,1603109344
32,Guarda,40.54,-7.27,70.0,33,93,14.0,PT,1603109345
33,Comarapa,-17.9,-64.48,69.98,53,67,3.33,BO,1603109346
34,Bani Walid,31.76,13.99,73.09,39,34,11.07,LY,1603109348
35,Alta Floresta,-9.88,-56.09,73.17,92,100,1.72,BR,1603109139
36,Hilo,19.73,-155.09,70.0,92,87,1.99,US,1603109350
37,Deputatsky,69.3,139.9,9.61,95,98,5.66,RU,1603109351
38,Aripuanã,-9.17,-60.63,72.86,98,100,2.13,BR,1603109352
39,Ribeira Grande,38.52,-28.7,63.61,70,50,28.07,PT,1603109353
40,Kumul,42.8,93.45,58.62,31,48,16.35,CN,1603109355
41,Geraldton,-28.77,114.6,66.99,79,88,3.0,AU,1603109356
42,Mar del Plata,-38.0,-57.56,61.16,97,100,6.15,AR,1603109357
43,Tuatapere,-46.13,167.68,48.99,84,68,11.01,NZ,1603109358
44,Hithadhoo,-0.6,73.08,83.1,77,100,13.65,MV,1603109359
45,Aksu,41.12,80.26,58.41,31,0,3.06,CN,1603109361
46,Mataura,-46.19,168.86,48.99,84,50,11.01,NZ,1603109362
47,Punta Arenas,-53.15,-70.92,41.11,67,5,22.24,CL,1603109363
48,Barrow,71.29,-156.79,21.87,95,100,6.15,US,1603109364
49,Tadine,-21.55,167.88,71.76,80,34,14.83,NC,1603109365
50,Bāfq,31.61,55.41,79.57,10,0,9.01,IR,1603109366
51,Yellowknife,62.46,-114.35,21.99,95,100,1.99,CA,1603109367
52,Maiduguri,11.85,13.16,99.39,12,28,5.28,NG,1603109368
53,Dunedin,-45.87,170.5,48.0,79,47,3.0,NZ,1603109273
54,Tuktoyaktuk,69.45,-133.04,17.13,95,73,4.76,CA,1603109371
55,Acajutla,13.59,-89.83,70.0,99,98,5.17,SV,1603109372
56,Butaritari,3.07,172.79,82.24,73,100,14.23,KI,1603109373
57,Sydney,-33.87,151.21,63.0,79,88,1.99,AU,1603109146
58,Madimba,-10.4,40.33,82.92,63,52,9.73,TZ,1603109376
59,Mitsamiouli,-11.38,43.28,79.32,70,38,2.42,KM,1603109378
60,Dalianwan,39.03,121.69,64.99,7,0,1.01,CN,1603109379
61,Sitka,57.05,-135.33,40.17,88,99,5.48,US,1603109129
62,Vila Franca do Campo,37.72,-25.43,63.41,69,35,19.28,PT,1603109381
63,Poum,-20.23,164.02,74.46,68,1,11.81,NC,1603109384
64,Pevek,69.7,170.31,25.29,94,23,14.56,RU,1603109386
65,Jalu,29.03,21.55,94.24,18,82,17.36,LY,1603109387
66,Ancud,-41.87,-73.82,46.99,95,97,1.01,CL,1603109388
67,Manggar,-2.88,108.27,80.53,80,71,8.48,ID,1603109389
68,Preston,53.77,-2.72,55.0,84,100,1.99,GB,1603109391
69,Aklavik,68.22,-135.01,11.17,85,3,7.2,CA,1603109392
70,Santa Maria,-29.68,-53.81,75.4,61,0,5.08,BR,1603109394
71,Walvis Bay,-22.96,14.51,62.01,85,0,5.01,NA,1603109395
72,Katsuura,35.13,140.3,57.0,93,100,15.12,JP,1603109350
73,Saint-Joseph,-21.37,55.62,80.01,62,16,5.99,RE,1603109398
74,Gualaceo,-2.9,-78.78,55.54,75,90,0.69,EC,1603109399
75,Lavrentiya,65.58,-171.0,32.5,93,36,3.11,RU,1603109400
76,Harper,4.38,-7.72,80.82,83,90,10.85,LR,1603109402
77,Ures,29.43,-110.4,71.01,91,36,1.99,MX,1603109403
78,Broken Hill,-31.95,141.43,62.42,37,66,8.12,AU,1603109404
79,Gibara,21.11,-76.13,78.75,75,100,8.39,CU,1603109405
80,Ilulissat,69.22,-51.1,37.72,76,82,15.82,GL,1603109169
81,Yining,29.04,114.56,59.59,82,90,3.24,CN,1603109408
82,Palāsa,18.77,84.42,80.73,83,95,7.45,IN,1603109409
83,Marsá Maţrūḩ,31.35,27.25,81.52,57,97,13.73,EG,1603109410
84,Puerto Ayora,-0.74,-90.35,68.0,94,100,8.99,EC,1603109411
85,São Filipe,14.9,-24.5,81.97,74,62,6.8,CV,1603109412
86,Lebu,-37.62,-73.65,51.48,75,2,3.98,CL,1603109413
87,Lázaro Cárdenas,17.96,-102.2,76.82,83,100,4.74,MX,1603109352
88,Zhezkazgan,47.8,67.71,60.01,43,22,4.27,KZ,1603109416
89,Dubai,25.26,55.3,88.95,38,0,13.6,AE,1603109214
90,Arraial do Cabo,-22.97,-42.03,72.48,77,87,21.5,BR,1603109419
